

  1r          |                       |    |    |    |(I )(I )      |     
8286:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8287:  /       |                       |blt |    |    |(TC)(I )      |     
8288:  #       |                       |    |blt |    |(RD)(I )      |     
8289:  #       |                       |    |    |blt |(W )(I )      |     
8290:  #       |                       |    |    |    |(I )(I )      |     
8291:  #       |                       |    |    |    |(TC)(I )      |     
8292:  #       |                       |    |    |    |(RD)(I )      |     
8293:  00000750|                       |    |    |    |(W )(I )      |     
8294:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8295:  #       |                       |lw  |    |    |(TC)(I )      |     
8296:  #       |                       |    |#   |    |(RD)(TC)      |     
8297:  #       |                       |    |#   |    |(W )(RD)      |     
8298:  00000754|                       |    |lw  |    |(W )(W )      |     
8299:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8300:  #       |                       |lw  |    |    |(TC)(I )      |     
8301:  #       |                       |    |#   |    |(RD)(TC)      |     
8302:  #       |                       |    |#   |    |(W )(RD)      |     
8303:  00000758|                       |    |lw  |    |(W )(W )      |     
8304:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8305:  #       |                       |addi|    |    |(TC)(I )      |     
8306:  #       |                       |    |addi|    |(RD)(I )      |     
8307:  0000075c|                       |    |    |addi|(W )(I )      |     
8308:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8309:  #       |                       |addi|    |    |(TC)(I )      |     
8310:  #       |                       |    |addi|    |(RD)(I )      |     
8311:  00000760|                       |    |    |addi|(W )(I )      |     
8312:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
8313:  #       |                       |addi|    |    |(TC)(I )      |     
8314:  #       |                       |    |addi|    |(RD)(I )      |     
8315:  00000764|                       |    |    |addi|(W )(I )      |     
8316:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
8317:  /       |                       |beq |    |    |(TC)(I )      |     
8318:  #       |                       |    |beq |    |(RD)(I )      |     
8319:  #       |                       |    |    |beq |(W )(I )      |     
8320:  #       |                       |    |    |    |(I )(I )      |     
8321:  #       |                       |    |    |    |(TC)(I )      |     
8322:  #       |                       |    |    |    |(RD)(I )      |     
8323:  000007cc|                       |    |    |    |(W )(I )      |     
8324:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
8325:  #       |                       |addi|    |    |(TC)(I )      |     
8326:  #       |                       |    |addi|    |(RD)(I )      |     
8327:  000007d0|                       |    |    |addi|(W )(I )      |     
8328:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
8329:  #       |                       |addi|    |    |(TC)(I )      |     
8330:  #       |                       |    |addi|    |(RD)(I )      |     
8331:  000007d4|                       |    |    |addi|(W )(I )      |     
8332:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
8333:  #       |                       |addi|    |    |(TC)(I )      |     
8334:  #       |                       |    |addi|    |(RD)(I )      |     
8335:  000007d8|                       |    |    |addi|(W )(I )      |     
8336:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8337:  /       |                       |blt |    |    |(TC)(I )      |     
8338:  #       |                       |    |blt |    |(RD)(I )      |     
8339:  #       |                       |    |    |blt |(W )(I )      |     
8340:  #       |                       |    |    |    |(I )(I )      |     
8341:  #       |                       |    |    |    |(TC)(I )      |     
8342:  #       |                       |    |    |    |(RD)(I )      |     
8343:  00000750|                       |    |    |    |(W )(I )      |     
8344:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8345:  #       |                       |lw  |    |    |(TC)(I )      |     
8346:  #       |                       |    |#   |    |(RD)(TC)      |     
8347:  #       |                       |    |#   |    |(W )(RD)      |     
8348:  00000754|                       |    |lw  |    |(W )(W )      |     
8349:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8350:  #       |                       |lw  |    |    |(TC)(I )      |     
8351:  #       |                       |    |#   |    |(RD)(TC)      |     
8352:  #       |                       |    |#   |    |(W )(RD)      |     
8353:  00000758|                       |    |lw  |    |(W )(W )      |     
8354:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8355:  #       |                       |addi|    |    |(TC)(I )      |     
8356:  #       |                       |    |addi|    |(RD)(I )      |     
8357:  0000075c|                       |    |    |addi|(W )(I )      |     
8358:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8359:  #       |                       |addi|    |    |(TC)(I )      |     
8360:  #       |                       |    |addi|    |(RD)(I )      |     
8361:  00000760|                       |    |    |addi|(W )(I )      |     
8362:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
8363:  #       |                       |addi|    |    |(TC)(I )      |     
8364:  #       |                       |    |addi|    |(RD)(I )      |     
8365:  00000764|                       |    |    |addi|(W )(I )      |     
8366:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
8367:  /       |                       |beq |    |    |(TC)(I )      |     
8368:  #       |                       |    |beq |    |(RD)(I )      |     
8369:  #       |                       |    |    |beq |(W )(I )      |     
8370:  #       |                       |    |    |    |(I )(I )      |     
8371:  #       |                       |    |    |    |(TC)(I )      |     
8372:  #       |                       |    |    |    |(RD)(I )      |     
8373:  000007cc|                       |    |    |    |(W )(I )      |     
8374:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
8375:  #       |                       |addi|    |    |(TC)(I )      |     
8376:  #       |                       |    |addi|    |(RD)(I )      |     
8377:  000007d0|                       |    |    |addi|(W )(I )      |     
8378:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
8379:  #       |                       |addi|    |    |(TC)(I )      |     
8380:  #       |                       |    |addi|    |(RD)(I )      |     
8381:  000007d4|                       |    |    |addi|(W )(I )      |     
8382:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
8383:  #       |                       |addi|    |    |(TC)(I )      |     
8384:  #       |                       |    |addi|    |(RD)(I )      |     
8385:  000007d8|                       |    |    |addi|(W )(I )      |     
8386:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8387:  /       |                       |blt |    |    |(TC)(I )      |     
8388:  #       |                       |    |blt |    |(RD)(I )      |     
8389:  #       |                       |    |    |blt |(W )(I )      |     
8390:  #       |                       |    |    |    |(I )(I )      |     
8391:  #       |                       |    |    |    |(TC)(I )      |     
8392:  #       |                       |    |    |    |(RD)(I )      |     
8393:  00000750|                       |    |    |    |(W )(I )      |     
8394:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8395:  #       |                       |lw  |    |    |(TC)(I )      |     
8396:  #       |                       |    |#   |    |(RD)(TC)      |     
8397:  #       |                       |    |#   |    |(W )(RR)      |rd>  
8398:  #       |                       |    |#   |    |(W )(RW)      |  >rd
8399:  #       |                       |    |#   |    |(W )(RU)      |     
8400:  #       |                       |    |#   |    |(W )(RD)      |     
8401:  00000754|                       |    |lw  |    |(W )(W )      |     
8402:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8403:  #       |                       |lw  |    |    |(TC)(I )      |     
8404:  #       |                       |    |#   |    |(RD)(TC)      |     
8405:  #       |                       |    |#   |    |(W )(RD)      |     
8406:  00000758|                       |    |lw  |    |(W )(W )      |     
8407:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8408:  #       |                       |addi|    |    |(TC)(I )      |     
8409:  #       |                       |    |addi|    |(RD)(I )      |     
8410:  0000075c|                       |    |    |addi|(W )(I )      |     
8411:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8412:  #       |                       |addi|    |    |(TC)(I )      |     
8413:  #       |                       |    |addi|    |(RD)(I )      |     
8414:  00000760|                       |    |    |addi|(W )(I )      |     
8415:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
8416:  #       |                       |addi|    |    |(TC)(I )      |     
8417:  #       |                       |    |addi|    |(RD)(I )      |     
8418:  00000764|                       |    |    |addi|(W )(I )      |     
8419:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
8420:  /       |                       |beq |    |    |(TC)(I )      |     
8421:  #       |                       |    |beq |    |(RD)(I )      |     
8422:  #       |                       |    |    |beq |(W )(I )      |     
8423:  #       |                       |    |    |    |(I )(I )      |     
8424:  #       |                       |    |    |    |(TC)(I )      |     
8425:  #       |                       |    |    |    |(RD)(I )      |     
8426:  000007cc|                       |    |    |    |(W )(I )      |     
8427:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
8428:  #       |                       |addi|    |    |(TC)(I )      |     
8429:  #       |                       |    |addi|    |(RD)(I )      |     
8430:  000007d0|                       |    |    |addi|(W )(I )      |     
8431:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
8432:  #       |                       |addi|    |    |(TC)(I )      |     
8433:  #       |                       |    |addi|    |(RD)(I )      |     
8434:  000007d4|                       |    |    |addi|(W )(I )      |     
8435:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
8436:  #       |                       |addi|    |    |(TC)(I )      |     
8437:  #       |                       |    |addi|    |(RD)(I )      |     
8438:  000007d8|                       |    |    |addi|(W )(I )      |     
8439:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8440:  /       |                       |blt |    |    |(TC)(I )      |     
8441:  #       |                       |    |blt |    |(RD)(I )      |     
8442:  #       |                       |    |    |blt |(W )(I )      |     
8443:  #       |                       |    |    |    |(I )(I )      |     
8444:  #       |                       |    |    |    |(TC)(I )      |     
8445:  #       |                       |    |    |    |(RD)(I )      |     
8446:  00000750|                       |    |    |    |(W )(I )      |     
8447:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8448:  #       |                       |lw  |    |    |(TC)(I )      |     
8449:  #       |                       |    |#   |    |(RD)(TC)      |     
8450:  #       |                       |    |#   |    |(W )(RD)      |     
8451:  00000754|                       |    |lw  |    |(W )(W )      |     
8452:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8453:  #       |                       |lw  |    |    |(TC)(I )      |     
8454:  #       |                       |    |#   |    |(RD)(TC)      |     
8455:  #       |                       |    |#   |    |(W )(RR)      |rd>  
8456:  #       |                       |    |#   |    |(W )(RW)      |  >rd
8457:  #       |                       |    |#   |    |(W )(RU)      |     
8458:  #       |                       |    |#   |    |(W )(RD)      |     
8459:  00000758|                       |    |lw  |    |(W )(W )      |     
8460:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8461:  #       |                       |addi|    |    |(TC)(I )      |     
8462:  #       |                       |    |addi|    |(RD)(I )      |     
8463:  0000075c|                       |    |    |addi|(W )(I )      |     
8464:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8465:  #       |                       |addi|    |    |(TC)(I )      |     
8466:  #       |                       |    |addi|    |(RD)(I )      |     
8467:  00000760|                       |    |    |addi|(W )(I )      |     
8468:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
8469:  #       |                       |addi|    |    |(TC)(I )      |     
8470:  #       |                       |    |addi|    |(RD)(I )      |     
8471:  00000764|                       |    |    |addi|(W )(I )      |     
8472:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
8473:  /       |                       |beq |    |    |(TC)(I )      |     
8474:  #       |                       |    |beq |    |(RD)(I )      |     
8475:  #       |                       |    |    |beq |(W )(I )      |     
8476:  #       |                       |    |    |    |(I )(I )      |     
8477:  #       |                       |    |    |    |(TC)(I )      |     
8478:  #       |                       |    |    |    |(RD)(I )      |     
8479:  000007cc|                       |    |    |    |(W )(I )      |     
8480:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
8481:  #       |                       |addi|    |    |(TC)(I )      |     
8482:  #       |                       |    |addi|    |(RD)(I )      |     
8483:  000007d0|                       |    |    |addi|(W )(I )      |     
8484:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
8485:  #       |                       |addi|    |    |(TC)(I )      |     
8486:  #       |                       |    |addi|    |(RD)(I )      |     
8487:  000007d4|                       |    |    |addi|(W )(I )      |     
8488:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
8489:  #       |                       |addi|    |    |(TC)(I )      |     
8490:  #       |                       |    |addi|    |(RD)(I )      |     
8491:  000007d8|                       |    |    |addi|(W )(I )      |     
8492:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8493:  /       |                       |blt |    |    |(TC)(I )      |     
8494:  #       |                       |    |blt |    |(RD)(I )      |     
8495:  #       |                       |    |    |blt |(W )(I )      |     
8496:  #       |                       |    |    |    |(I )(I )      |     
8497:  #       |                       |    |    |    |(TC)(I )      |     
8498:  #       |                       |    |    |    |(RD)(I )      |     
8499:  00000750|                       |    |    |    |(W )(I )      |     
8500:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8501:  #       |                       |lw  |    |    |(TC)(I )      |     
8502:  #       |                       |    |#   |    |(RD)(TC)      |     
8503:  #       |                       |    |#   |    |(W )(RD)      |     
8504:  00000754|                       |    |lw  |    |(W )(W )      |     
8505:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8506:  #       |                       |lw  |    |    |(TC)(I )      |     
8507:  #       |                       |    |#   |    |(RD)(TC)      |     
8508:  #       |                       |    |#   |    |(W )(RD)      |     
8509:  00000758|                       |    |lw  |    |(W )(W )      |     
8510:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8511:  #       |                       |addi|    |    |(TC)(I )      |     
8512:  #       |                       |    |addi|    |(RD)(I )      |     
8513:  0000075c|                       |    |    |addi|(W )(I )      |     
8514:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8515:  #       |                       |addi|    |    |(TC)(I )      |     
8516:  #       |                       |    |addi|    |(RD)(I )      |     
8517:  00000760|                       |    |    |addi|(W )(I )      |     
8518:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
8519:  #       |                       |addi|    |    |(TC)(I )      |     
8520:  #       |                       |    |addi|    |(RD)(I )      |     
8521:  00000764|                       |    |    |addi|(W )(I )      |     
8522:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
8523:  /       |                       |beq |    |    |(TC)(I )      |     
8524:  #       |                       |    |beq |    |(RD)(I )      |     
8525:  #       |                       |    |    |beq |(W )(I )      |     
8526:  #       |                       |    |    |    |(I )(I )      |     
8527:  #       |                       |    |    |    |(TC)(I )      |     
8528:  #       |                       |    |    |    |(RD)(I )      |     
8529:  000007cc|                       |    |    |    |(W )(I )      |     
8530:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
8531:  #       |                       |addi|    |    |(TC)(I )      |     
8532:  #       |                       |    |addi|    |(RD)(I )      |     
8533:  000007d0|                       |    |    |addi|(W )(I )      |     
8534:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
8535:  #       |                       |addi|    |    |(TC)(I )      |     
8536:  #       |                       |    |addi|    |(RD)(I )      |     
8537:  000007d4|                       |    |    |addi|(W )(I )      |     
8538:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
8539:  #       |                       |addi|    |    |(TC)(I )      |     
8540:  #       |                       |    |addi|    |(RD)(I )      |     
8541:  000007d8|                       |    |    |addi|(W )(I )      |     
8542:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8543:  /       |                       |blt |    |    |(TC)(I )      |     
8544:  #       |                       |    |blt |    |(RD)(I )      |     
8545:  #       |                       |    |    |blt |(W )(I )      |     
8546:  #       |                       |    |    |    |(I )(I )      |     
8547:  #       |                       |    |    |    |(TC)(I )      |     
8548:  #       |                       |    |    |    |(RD)(I )      |     
8549:  00000750|                       |    |    |    |(W )(I )      |     
8550:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8551:  #       |                       |lw  |    |    |(TC)(I )      |     
8552:  #       |                       |    |#   |    |(RD)(TC)      |     
8553:  #       |                       |    |#   |    |(W )(RD)      |     
8554:  00000754|                       |    |lw  |    |(W )(W )      |     
8555:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8556:  #       |                       |lw  |    |    |(TC)(I )      |     
8557:  #       |                       |    |#   |    |(RD)(TC)      |     
8558:  #       |                       |    |#   |    |(W )(RD)      |     
8559:  00000758|                       |    |lw  |    |(W )(W )      |     
8560:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8561:  #       |                       |addi|    |    |(TC)(I )      |     
8562:  #       |                       |    |addi|    |(RD)(I )      |     
8563:  0000075c|                       |    |    |addi|(W )(I )      |     
8564:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8565:  #       |                       |addi|    |    |(TC)(I )      |     
8566:  #       |                       |    |addi|    |(RD)(I )      |     
8567:  00000760|                       |    |    |addi|(W )(I )      |     
8568:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
8569:  #       |                       |addi|    |    |(TC)(I )      |     
8570:  #       |                       |    |addi|    |(RD)(I )      |     
8571:  00000764|                       |    |    |addi|(W )(I )      |     
8572:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
8573:  /       |                       |beq |    |    |(TC)(I )      |     
8574:  #       |                       |    |beq |    |(RD)(I )      |     
8575:  #       |                       |    |    |beq |(W )(I )      |     
8576:  #       |                       |    |    |    |(I )(I )      |     
8577:  #       |                       |    |    |    |(TC)(I )      |     
8578:  #       |                       |    |    |    |(RD)(I )      |     
8579:  000007cc|                       |    |    |    |(W )(I )      |     
8580:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
8581:  #       |                       |addi|    |    |(TC)(I )      |     
8582:  #       |                       |    |addi|    |(RD)(I )      |     
8583:  000007d0|                       |    |    |addi|(W )(I )      |     
8584:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
8585:  #       |                       |addi|    |    |(TC)(I )      |     
8586:  #       |                       |    |addi|    |(RD)(I )      |     
8587:  000007d4|                       |    |    |addi|(W )(I )      |     
8588:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
8589:  #       |                       |addi|    |    |(TC)(I )      |     
8590:  #       |                       |    |addi|    |(RD)(I )      |     
8591:  000007d8|                       |    |    |addi|(W )(I )      |     
8592:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8593:  /       |                       |blt |    |    |(TC)(I )      |     
8594:  #       |                       |    |blt |    |(RD)(I )      |     
8595:  #       |                       |    |    |blt |(W )(I )      |     
8596:  #       |                       |    |    |    |(I )(I )      |     
8597:  #       |                       |    |    |    |(TC)(I )      |     
8598:  #       |                       |    |    |    |(RD)(I )      |     
8599:  00000750|                       |    |    |    |(W )(I )      |     
8600:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8601:  #       |                       |lw  |    |    |(TC)(I )      |     
8602:  #       |                       |    |#   |    |(RD)(TC)      |     
8603:  #       |                       |    |#   |    |(W )(RR)      |rd>  
8604:  #       |                       |    |#   |    |(W )(RW)      |  >rd
8605:  #       |                       |    |#   |    |(W )(RU)      |     
8606:  #       |                       |    |#   |    |(W )(RD)      |     
8607:  00000754|                       |    |lw  |    |(W )(W )      |     
8608:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8609:  #       |                       |lw  |    |    |(TC)(I )      |     
8610:  #       |                       |    |#   |    |(RD)(TC)      |     
8611:  #       |                       |    |#   |    |(W )(RD)      |     
8612:  00000758|                       |    |lw  |    |(W )(W )      |     
8613:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8614:  #       |                       |addi|    |    |(TC)(I )      |     
8615:  #       |                       |    |addi|    |(RD)(I )      |     
8616:  0000075c|                       |    |    |addi|(W )(I )      |     
8617:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8618:  #       |                       |addi|    |    |(TC)(I )      |     
8619:  #       |                       |    |addi|    |(RD)(I )      |     
8620:  00000760|                       |    |    |addi|(W )(I )      |     
8621:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
8622:  #       |                       |addi|    |    |(TC)(I )      |     
8623:  #       |                       |    |addi|    |(RD)(I )      |     
8624:  00000764|                       |    |    |addi|(W )(I )      |     
8625:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
8626:  /       |                       |beq |    |    |(TC)(I )      |     
8627:  #       |                       |    |beq |    |(RD)(I )      |     
8628:  #       |                       |    |    |beq |(W )(I )      |     
8629:  #       |                       |    |    |    |(I )(I )      |     
8630:  #       |                       |    |    |    |(TC)(I )      |     
8631:  #       |                       |    |    |    |(RD)(I )      |     
8632:  000007cc|                       |    |    |    |(W )(I )      |     
8633:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
8634:  #       |                       |addi|    |    |(TC)(I )      |     
8635:  #       |                       |    |addi|    |(RD)(I )      |     
8636:  000007d0|                       |    |    |addi|(W )(I )      |     
8637:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
8638:  #       |                       |addi|    |    |(TC)(I )      |     
8639:  #       |                       |    |addi|    |(RD)(I )      |     
8640:  000007d4|                       |    |    |addi|(W )(I )      |     
8641:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
8642:  #       |                       |addi|    |    |(TC)(I )      |     
8643:  #       |                       |    |addi|    |(RD)(I )      |     
8644:  000007d8|                       |    |    |addi|(W )(I )      |     
8645:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8646:  /       |                       |blt |    |    |(TC)(I )      |     
8647:  #       |                       |    |blt |    |(RD)(I )      |     
8648:  #       |                       |    |    |blt |(W )(I )      |     
8649:  #       |                       |    |    |    |(I )(I )      |     
8650:  #       |                       |    |    |    |(TC)(I )      |     
8651:  #       |                       |    |    |    |(RD)(I )      |     
8652:  00000750|                       |    |    |    |(W )(I )      |     
8653:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8654:  #       |                       |lw  |    |    |(TC)(I )      |     
8655:  #       |                       |    |#   |    |(RD)(TC)      |     
8656:  #       |                       |    |#   |    |(W )(RD)      |     
8657:  00000754|                       |    |lw  |    |(W )(W )      |     
8658:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8659:  #       |                       |lw  |    |    |(TC)(I )      |     
8660:  #       |                       |    |#   |    |(RD)(TC)      |     
8661:  #       |                       |    |#   |    |(W )(RR)      |rd>  
8662:  #       |                       |    |#   |    |(W )(RW)      |  >rd
8663:  #       |                       |    |#   |    |(W )(RU)      |     
8664:  #       |                       |    |#   |    |(W )(RD)      |     
8665:  00000758|                       |    |lw  |    |(W )(W )      |     
8666:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8667:  #       |                       |addi|    |    |(TC)(I )      |     
8668:  #       |                       |    |addi|    |(RD)(I )      |     
8669:  0000075c|                       |    |    |addi|(W )(I )      |     
8670:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8671:  #       |                       |addi|    |    |(TC)(I )      |     
8672:  #       |                       |    |addi|    |(RD)(I )      |     
8673:  00000760|                       |    |    |addi|(W )(I )      |     
8674:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
8675:  #       |                       |addi|    |    |(TC)(I )      |     
8676:  #       |                       |    |addi|    |(RD)(I )      |     
8677:  00000764|                       |    |    |addi|(W )(I )      |     
8678:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
8679:  /       |                       |beq |    |    |(TC)(I )      |     
8680:  #       |                       |    |beq |    |(RD)(I )      |     
8681:  #       |                       |    |    |beq |(W )(I )      |     
8682:  #       |                       |    |    |    |(I )(I )      |     
8683:  #       |                       |    |    |    |(TC)(I )      |     
8684:  #       |                       |    |    |    |(RD)(I )      |     
8685:  000007cc|                       |    |    |    |(W )(I )      |     
8686:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
8687:  #       |                       |addi|    |    |(TC)(I )      |     
8688:  #       |                       |    |addi|    |(RD)(I )      |     
8689:  000007d0|                       |    |    |addi|(W )(I )      |     
8690:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
8691:  #       |                       |addi|    |    |(TC)(I )      |     
8692:  #       |                       |    |addi|    |(RD)(I )      |     
8693:  000007d4|                       |    |    |addi|(W )(I )      |     
8694:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
8695:  #       |                       |addi|    |    |(TC)(I )      |     
8696:  #       |                       |    |addi|    |(RD)(I )      |     
8697:  000007d8|                       |    |    |addi|(W )(I )      |     
8698:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8699:  /       |                       |blt |    |    |(TC)(I )      |     
8700:  #       |                       |    |blt |    |(RD)(I )      |     
8701:  #       |                       |    |    |blt |(W )(I )      |     
8702:  #       |                       |    |    |    |(I )(I )      |     
8703:  #       |                       |    |    |    |(TC)(I )      |     
8704:  #       |                       |    |    |    |(RD)(I )      |     
8705:  00000750|                       |    |    |    |(W )(I )      |     
8706:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8707:  #       |                       |lw  |    |    |(TC)(I )      |     
8708:  #       |                       |    |#   |    |(RD)(TC)      |     
8709:  #       |                       |    |#   |    |(W )(RD)      |     
8710:  00000754|                       |    |lw  |    |(W )(W )      |     
8711:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8712:  #       |                       |lw  |    |    |(TC)(I )      |     
8713:  #       |                       |    |#   |    |(RD)(TC)      |     
8714:  #       |                       |    |#   |    |(W )(RD)      |     
8715:  00000758|                       |    |lw  |    |(W )(W )      |     
8716:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8717:  #       |                       |addi|    |    |(TC)(I )      |     
8718:  #       |                       |    |addi|    |(RD)(I )      |     
8719:  0000075c|                       |    |    |addi|(W )(I )      |     
8720:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8721:  #       |                       |addi|    |    |(TC)(I )      |     
8722:  #       |                       |    |addi|    |(RD)(I )      |     
8723:  00000760|                       |    |    |addi|(W )(I )      |     
8724:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
8725:  #       |                       |addi|    |    |(TC)(I )      |     
8726:  #       |                       |    |addi|    |(RD)(I )      |     
8727:  00000764|                       |    |    |addi|(W )(I )      |     
8728:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
8729:  /       |                       |beq |    |    |(TC)(I )      |     
8730:  #       |                       |    |beq |    |(RD)(I )      |     
8731:  #       |                       |    |    |beq |(W )(I )      |     
8732:  #       |                       |    |    |    |(I )(I )      |     
8733:  #       |                       |    |    |    |(TC)(I )      |     
8734:  #       |                       |    |    |    |(RD)(I )      |     
8735:  000007cc|                       |    |    |    |(W )(I )      |     
8736:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
8737:  #       |                       |addi|    |    |(TC)(I )      |     
8738:  #       |                       |    |addi|    |(RD)(I )      |     
8739:  000007d0|                       |    |    |addi|(W )(I )      |     
8740:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
8741:  #       |                       |addi|    |    |(TC)(I )      |     
8742:  #       |                       |    |addi|    |(RD)(I )      |     
8743:  000007d4|                       |    |    |addi|(W )(I )      |     
8744:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
8745:  #       |                       |addi|    |    |(TC)(I )      |     
8746:  #       |                       |    |addi|    |(RD)(I )      |     
8747:  000007d8|                       |    |    |addi|(W )(I )      |     
8748:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8749:  /       |                       |blt |    |    |(TC)(I )      |     
