

  1r          |                       |    |    |    |(I )(I )      |     
209:  #       |                       |addi|    |    |(TC)(I )      |     
210:  #       |                       |    |addi|    |(RD)(I )      |     
211:  000002ac|                       |    |    |addi|(W )(I )      |     
212:  #       |auipc  x06, 0x00001    |    |    |    |(I )(I )      |     
213:  #       |                       |auiP|    |    |(TC)(I )      |     
214:  #       |                       |    |auiP|    |(RR)(I ) rd>  |     
215:  #       |                       |    |    |auiP|(RW)(I )   >rd|     
216:  #       |                       |    |    |    |(RU)(I )      |     
217:  #       |                       |    |    |    |(RD)(I )      |     
218:  000002b0|                       |    |    |    |(W )(I )      |     
219:  #       |addi   x06, x06, 0xd14 |    |    |    |(I )(I )      |     
220:  #       |                       |addi|    |    |(TC)(I )      |     
221:  #       |                       |    |addi|    |(RD)(I )      |     
222:  000002b4|                       |    |    |addi|(W )(I )      |     
223:  #       |sw     x00, 0x000(x05) |    |    |    |(I )(I )      |     
224:  #       |                       |sw  |    |    |(TC)(I )      |     
225:  #       |                       |    |#   |    |(RD)(TC)      |     
226:  #       |                       |    |#   |    |(W )(RR)      |rd>  
227:  #       |                       |    |#   |    |(W )(RW)      |  >rd
228:  #       |                       |    |#   |    |(W )(RU)      |     
229:  #       |                       |    |#   |    |(W )(WD)      |     
230:  000002b8|                       |    |sw  |    |(W )(W )      |     
231:  #       |addi   x05, x05, 0x004 |    |    |sw  |(I )(I )      |     
232:  #       |                       |addi|    |    |(TC)(I )      |     
233:  #       |                       |    |addi|    |(RD)(I )      |     
234:  000002bc|                       |    |    |addi|(W )(I )      |     
235:  #       |bltu   x05, x06, 0x1ff8|    |    |    |(I )(I )      |     
236:  /       |                       |bltu|    |    |(TC)(I )      |     
237:  #       |                       |    |bltu|    |(RR)(I ) rd>  |     
238:  #       |                       |    |    |bltu|(RW)(I )   >rd|     
239:  #       |                       |    |    |    |(RU)(I )      |     
240:  #       |                       |    |    |    |(RD)(I )      |     
241:  #       |                       |    |    |    |(W )(I )      |     
242:  #       |                       |    |    |    |(I )(I )      |     
243:  #       |                       |    |    |    |(TC)(I )      |     
244:  #       |                       |    |    |    |(RD)(I )      |     
245:  000002b4|                       |    |    |    |(W )(I )      |     
246:  #       |sw     x00, 0x000(x05) |    |    |    |(I )(I )      |     
247:  #       |                       |sw  |    |    |(TC)(I )      |     
248:  #       |                       |    |#   |    |(RD)(TC)      |     
249:  #       |                       |    |#   |    |(W )(WD)      |     
250:  000002b8|                       |    |sw  |    |(W )(W )      |     
251:  #       |addi   x05, x05, 0x004 |    |    |sw  |(I )(I )      |     
252:  #       |                       |addi|    |    |(TC)(I )      |     
253:  #       |                       |    |addi|    |(RD)(I )      |     
254:  000002bc|                       |    |    |addi|(W )(I )      |     
255:  #       |bltu   x05, x06, 0x1ff8|    |    |    |(I )(I )      |     
256:  /       |                       |bltu|    |    |(TC)(I )      |     
257:  #       |                       |    |bltu|    |(RD)(I )      |     
258:  #       |                       |    |    |bltu|(W )(I )      |     
259:  #       |                       |    |    |    |(I )(I )      |     
260:  #       |                       |    |    |    |(TC)(I )      |     
261:  #       |                       |    |    |    |(RD)(I )      |     
262:  000002b4|                       |    |    |    |(W )(I )      |     
263:  #       |sw     x00, 0x000(x05) |    |    |    |(I )(I )      |     
264:  #       |                       |sw  |    |    |(TC)(I )      |     
265:  #       |                       |    |#   |    |(RD)(TC)      |     
266:  #       |                       |    |#   |    |(W )(WD)      |     
267:  000002b8|                       |    |sw  |    |(W )(W )      |     
268:  #       |addi   x05, x05, 0x004 |    |    |sw  |(I )(I )      |     
269:  #       |                       |addi|    |    |(TC)(I )      |     
270:  #       |                       |    |addi|    |(RD)(I )      |     
271:  000002bc|                       |    |    |addi|(W )(I )      |     
272:  #       |bltu   x05, x06, 0x1ff8|    |    |    |(I )(I )      |     
273:  /       |                       |bltu|    |    |(TC)(I )      |     
274:  #       |                       |    |bltu|    |(RD)(I )      |     
275:  #       |                       |    |    |bltu|(W )(I )      |     
276:  #       |                       |    |    |    |(I )(I )      |     
277:  #       |                       |    |    |    |(TC)(I )      |     
278:  #       |                       |    |    |    |(RD)(I )      |     
279:  000002b4|                       |    |    |    |(W )(I )      |     
280:  #       |sw     x00, 0x000(x05) |    |    |    |(I )(I )      |     
281:  #       |                       |sw  |    |    |(TC)(I )      |     
282:  #       |                       |    |#   |    |(RD)(TC)      |     
283:  #       |                       |    |#   |    |(W )(WD)      |     
284:  000002b8|                       |    |sw  |    |(W )(W )      |     
285:  #       |addi   x05, x05, 0x004 |    |    |sw  |(I )(I )      |     
286:  #       |                       |addi|    |    |(TC)(I )      |     
287:  #       |                       |    |addi|    |(RD)(I )      |     
288:  000002bc|                       |    |    |addi|(W )(I )      |     
289:  #       |bltu   x05, x06, 0x1ff8|    |    |    |(I )(I )      |     
290:  /       |                       |bltu|    |    |(TC)(I )      |     
291:  #       |                       |    |bltu|    |(RD)(I )      |     
292:  #       |                       |    |    |bltu|(W )(I )      |     
293:  #       |                       |    |    |    |(I )(I )      |     
294:  #       |                       |    |    |    |(TC)(I )      |     
295:  #       |                       |    |    |    |(RD)(I )      |     
296:  000002b4|                       |    |    |    |(W )(I )      |     
297:  #       |sw     x00, 0x000(x05) |    |    |    |(I )(I )      |     
